passengerid,survived,Usage
916,1.0,Public
917,1.0,Public
918,1.0,Public
919,0.0,Public
920,1.0,Public
921,1.0,Public
922,0.0,Public
923,0.0,Public
924,1.0,Public
925,0.0,Public
926,0.0,Public
927,0.0,Public
928,1.0,Public
929,0.0,Public
930,0.0,Public
931,0.0,Public
932,0.0,Public
933,0.0,Public
934,0.0,Public
935,0.0,Public
936,0.0,Public
937,1.0,Public
938,0.0,Public
939,0.0,Public
940,0.0,Public
941,0.0,Public
942,1.0,Public
943,0.0,Public
944,0.0,Public
945,0.0,Public
946,1.0,Public
947,1.0,Public
948,0.0,Public
949,0.0,Public
950,0.0,Public
951,0.0,Public
952,1.0,Public
953,0.0,Public
954,1.0,Public
955,0.0,Public
956,0.0,Public
957,1.0,Public
958,0.0,Public
959,1.0,Public
960,0.0,Public
961,1.0,Public
962,0.0,Public
963,0.0,Public
964,0.0,Public
965,0.0,Public
966,1.0,Public
967,0.0,Public
968,1.0,Public
969,0.0,Public
970,0.0,Public
971,0.0,Public
972,0.0,Public
973,0.0,Public
974,1.0,Public
975,0.0,Public
976,1.0,Public
977,1.0,Public
978,1.0,Public
979,0.0,Public
980,0.0,Public
981,0.0,Public
982,1.0,Public
983,1.0,Public
984,0.0,Public
985,1.0,Public
986,0.0,Public
987,1.0,Public
988,1.0,Public
989,1.0,Public
990,0.0,Public
991,1.0,Public
992,0.0,Public
993,1.0,Public
994,0.0,Public
995,0.0,Public
996,0.0,Public
997,0.0,Public
998,0.0,Public
999,0.0,Public
1000,0.0,Public
1001,1.0,Public
1002,1.0,Public
1003,0.0,Public
1004,0.0,Public
1005,0.0,Public
1006,0.0,Public
1007,1.0,Public
1008,1.0,Public
1009,0.0,Public
1010,0.0,Public
1011,0.0,Public
1012,1.0,Public
1013,1.0,Public
1014,0.0,Public
1015,0.0,Public
1016,1.0,Public
1017,1.0,Public
1018,0.0,Public
1019,0.0,Public
1020,0.0,Public
1021,0.0,Public
1022,0.0,Public
1023,1.0,Public
1024,0.0,Public
1025,1.0,Public
1026,0.0,Public
1027,0.0,Public
1028,1.0,Public
1029,0.0,Public
1030,0.0,Public
1031,0.0,Public
1032,0.0,Public
1033,0.0,Public
1034,0.0,Public
1035,0.0,Public
1036,1.0,Public
1037,0.0,Public
1038,0.0,Public
1039,1.0,Public
1040,0.0,Public
1041,0.0,Public
1042,1.0,Public
1043,0.0,Public
1044,0.0,Public
1045,1.0,Public
1046,0.0,Public
1047,0.0,Public
1048,1.0,Public
1049,1.0,Public
1050,0.0,Public
1051,1.0,Public
1052,1.0,Public
1053,0.0,Public
1054,1.0,Public
1055,0.0,Public
1056,0.0,Public
1057,0.0,Public
1058,0.0,Public
1059,0.0,Public
1060,0.0,Public
1061,0.0,Public
1062,1.0,Public
1063,0.0,Public
1064,0.0,Public
1065,0.0,Public
1066,1.0,Public
1067,0.0,Public
1068,0.0,Public
1069,0.0,Public
1070,1.0,Public
1071,0.0,Public
1072,1.0,Public
1073,0.0,Public
1074,0.0,Public
1075,1.0,Public
1076,0.0,Public
1077,0.0,Public
1078,1.0,Public
1079,1.0,Public
1080,0.0,Public
1081,1.0,Public
1082,1.0,Public
1083,0.0,Public
1084,1.0,Public
1085,0.0,Public
1086,0.0,Public
1087,0.0,Public
1088,0.0,Public
1089,0.0,Public
1090,0.0,Public
1091,0.0,Public
1092,1.0,Public
1093,1.0,Public
1094,1.0,Public
1095,1.0,Public
1096,0.0,Public
1097,0.0,Public
1098,0.0,Public
1099,1.0,Public
1100,1.0,Public
1101,1.0,Public
1102,1.0,Public
1103,0.0,Public
1104,0.0,Public
1105,0.0,Public
1106,0.0,Public
1107,1.0,Public
1108,1.0,Public
1109,1.0,Public
1110,1.0,Public
1111,0.0,Public
1112,0.0,Public
1113,0.0,Public
1114,0.0,Public
1115,1.0,Public
1116,0.0,Private
1117,0.0,Private
1118,0.0,Private
1119,1.0,Private
1120,0.0,Private
1121,0.0,Private
1122,1.0,Private
1123,0.0,Private
1124,1.0,Private
1125,0.0,Private
1126,0.0,Private
1127,1.0,Private
1128,0.0,Private
1129,0.0,Private
1130,1.0,Private
1131,0.0,Private
1132,0.0,Private
1133,0.0,Private
1134,0.0,Private
1135,0.0,Private
1136,0.0,Private
1137,1.0,Private
1138,0.0,Private
1139,0.0,Private
1140,1.0,Private
1141,1.0,Private
1142,0.0,Private
1143,1.0,Private
1144,1.0,Private
1145,1.0,Private
1146,1.0,Private
1147,0.0,Private
1148,1.0,Private
1149,0.0,Private
1150,1.0,Private
1151,1.0,Private
1152,0.0,Private
1153,0.0,Private
1154,0.0,Private
1155,0.0,Private
1156,0.0,Private
1157,0.0,Private
1158,0.0,Private
1159,0.0,Private
1160,0.0,Private
1161,0.0,Private
1162,0.0,Private
1163,0.0,Private
1164,0.0,Private
1165,1.0,Private
1166,1.0,Private
1167,0.0,Private
1168,1.0,Private
1169,0.0,Private
1170,0.0,Private
1171,0.0,Private
1172,0.0,Private
1173,0.0,Private
1174,1.0,Private
1175,1.0,Private
1176,0.0,Private
1177,1.0,Private
1178,0.0,Private
1179,1.0,Private
1180,0.0,Private
1181,0.0,Private
1182,0.0,Private
1183,0.0,Private
1184,0.0,Private
1185,1.0,Private
1186,1.0,Private
1187,0.0,Private
1188,0.0,Private
1189,0.0,Private
1190,1.0,Private
1191,0.0,Private
1192,0.0,Private
1193,1.0,Private
1194,0.0,Private
1195,1.0,Private
1196,0.0,Private
1197,1.0,Private
1198,1.0,Private
1199,0.0,Private
1200,1.0,Private
1201,0.0,Private
1202,0.0,Private
1203,0.0,Private
1204,1.0,Private
1205,0.0,Private
1206,0.0,Private
1207,0.0,Private
1208,0.0,Private
1209,0.0,Private
1210,0.0,Private
1211,1.0,Private
1212,0.0,Private
1213,0.0,Private
1214,1.0,Private
1215,0.0,Private
1216,0.0,Private
1217,1.0,Private
1218,0.0,Private
1219,0.0,Private
1220,1.0,Private
1221,0.0,Private
1222,0.0,Private
1223,0.0,Private
1224,0.0,Private
1225,0.0,Private
1226,1.0,Private
1227,0.0,Private
1228,0.0,Private
1229,0.0,Private
1230,1.0,Private
1231,1.0,Private
1232,0.0,Private
1233,0.0,Private
1234,0.0,Private
1235,1.0,Private
1236,0.0,Private
1237,0.0,Private
1238,0.0,Private
1239,1.0,Private
1240,0.0,Private
1241,0.0,Private
1242,0.0,Private
1243,1.0,Private
1244,0.0,Private
1245,0.0,Private
1246,1.0,Private
1247,0.0,Private
1248,0.0,Private
1249,0.0,Private
1250,1.0,Private
1251,1.0,Private
1252,1.0,Private
1253,0.0,Private
1254,1.0,Private
1255,0.0,Private
1256,1.0,Private
1257,0.0,Private
1258,1.0,Private
1259,1.0,Private
1260,0.0,Private
1261,0.0,Private
1262,1.0,Private
1263,1.0,Private
1264,1.0,Private
1265,1.0,Private
1266,1.0,Private
1267,1.0,Private
1268,0.0,Private
1269,1.0,Private
1270,1.0,Private
1271,0.0,Private
1272,1.0,Private
1273,0.0,Private
1274,1.0,Private
1275,1.0,Private
1276,0.0,Private
1277,1.0,Private
1278,1.0,Private
1279,0.0,Private
1280,1.0,Private
1281,0.0,Private
1282,1.0,Private
1283,0.0,Private
1284,0.0,Private
1285,0.0,Private
1286,1.0,Private
1287,0.0,Private
1288,0.0,Private
1289,0.0,Private
1290,1.0,Private
1291,1.0,Private
1292,0.0,Private
1293,1.0,Private
1294,0.0,Private
1295,1.0,Private
1296,0.0,Private
1297,1.0,Private
1298,0.0,Private
1299,0.0,Private
1300,0.0,Private
1301,0.0,Private
1302,0.0,Private
1303,1.0,Private
1304,1.0,Private
1305,1.0,Private
1306,1.0,Private
1307,0.0,Private
1308,1.0,Private
