en,ko
These products are of the same quality.,이 제품들은 같은 품질이다.
The meeting was cancelled.,미팅이 취소되었다.
They found this.,그들이 이것을 찾았다.
Tom didn't tell Mary why he had to work late.,톰은 메리에게 왜 그가 늦게까지 일해야 했는지 알려주지 않았다.
After you.,먼저 가세요.
Keep smiling.,계속 웃어.
"If it rains, I'll stay at home.",비가 내리면 집에 있을 것이다.
I'm bleeding.,나 피나
Tom approved.,톰이 승낙했어.
Did you just insult me?,방금 날 모욕했어?
I'm having a hard time concentrating.,난 집중하려고 애를 쓰고 있어.
Why are you acting so stupid?,넌 왜 그렇게 바보같이 굴어?
I'm sorry for interrupting.,끼어 들어서 죄송합니다.
Tom didn't study for his final exam.,톰은 기말 시험 공부를 안했어.
What would you do if that happened to you?,그런 일이 생긴다면 어쩔 거야?
Tom wants a beer.,톰은 맥주를 원한다.
That's not what Tom is talking about.,그건 톰이 이야기한 것이 아니다.
Mary found a long blonde hair on Tom's jacket.,메리는 톰의 자켓에서 긴 금발 머리카락 한올을 발견했다.
Tell Tom.,톰에게 말해.
Please leave.,제발 떠나 줘.
Can I have this cup?,이 컵 가져도 돼요?
I have to go alone.,난 혼자서 가야해.
Tom is abusive.,톰은 폭력적이야.
I'm going to go there with Tom.,난 톰과 함께 거기에 갈 거야.
Tom said he wanted to go swimming.,톰이 수영하러 간다고 말했어.
She carried out the plan.,그는 계획을 실행했다.
Come inside.,안으로 들어와.
I got injured doing that.,제가 그러다가 다쳤었어요.
They're vegetarians.,그들은 채식주의자이다.
Tom can't hold down a job. He's always getting fired.,톰은 직업을 유지할 수 없어. 걔는 항상 해고돼.
Did you get a chance to talk with Tom?,톰과 대화할 기회라도 생겼어?
I think that Tom's French has improved a lot.,톰의 프랑스 실력이 많이 오른 것 같아.
Tom surrendered to the police.,톰은 경찰에게 항복했다.
I know I might not have to do that today.,그것을 오늘 안해도 될것같다는 걸 알아
Tom drove.,톰이 운전했어.
The data was completely useless.,그 데이터는 완전히 쓸모없었어.
I don't really have a preference.,난 딱히 선호하는 건 없어.
"I was late, so I missed my flight.",내가 늦었기 때문에 비행기를 놓쳤어.
Eat everything.,뭐든 먹어봐요.
I'm just doing my best.,난 그저 최선을 다하고 있을 뿐이다.
This is free.,공짜에요.
The sand on the beach was white.,해변의 모래가 흰색이었다.
I like languages.,언어가 좋습니다.
Semiconductors were the top United States export to South Korea.,반도체는 한국에 대한 미국의 수출 1위였어.
Tom wanted a bigger discount.,톰은 더 큰 할인을 원했습니다.
The telephone rang.,전화기가 울렸다.
Have you ever been in love?,너 한번이라도 사랑해본 적 있어?
Is it blue?,파란색이야?
Tom didn't do the dishes.,톰은 설거지를 하지 않았다.
Was the bank closed?,은행 문은 닫혀 있었어요?
There are seven continents on the earth.,지구에는 여섯 개의 대륙이 있어.
Do you like singing?,노래하는 거 좋아해?
Tom has decided to go to Boston.,톰은 보스턴에 가기로 결정했다.
I hope you have insurance.,당신이 보험이 있기를 바랍니다.
You know I'm married.,당신은 내가 결혼한 것을 안다.
You're boring.,너 지루하구나.
This book is easy for me to read.,이 책을 읽는 것은 나에게 쉽다.
Something is wrong here.,여기 뭔가가 잘못됐다.
Don't close the window.,창문을 닫지 마.
I learned how to swim when I was a kid.,내가 어렸을 때 어떻게 수영하는 지를 배웠어.
They left.,그들은 떠났어.
Tom practices piano every day.,톰은 매일 피아노를 연습해.
I know it's very difficult to understand why Tom did what he did.,톰이 왜 그런 짓을 했는지 이해하기 너무 어렵다는 것을 안다.
"Hello, girls.",안녕 아가씨들.
He tried to open the door.,그가 문을 열려고 하였다.
You don't say.,설마.
I'm looking forward to traveling with Tom.,나는 톰과 같이 여행하기를 기대하고 있다.
I hate sand.,나는 모래가 싫다.
Tom currently lives alone in a small apartment.,탐은 현재 작은 아파트에서 혼자 살고 있다.
This is suicide!,이것은 자살입니다.
What are you writing about?,뭐에 대해 쓰고있어?
Tom is insolent.,톰은 버릇이 없다.
What's that?,저건 뭐야?
Tom cut his own hair.,톰은 자신의 머리를 잘랐다.
How many mosques are there in Istanbul?,이스탄불에는 모기가 얼마나 많나요?
"Can't you suggest something else, Tom?","다른 것을 제안할 수는 없니, 톰?"
Tom won the match.,톰은 경기에서 이겼다.
Do you run every day?,달리기를 매일 하시나요?
"Some were farmers, some were hunters.","누군가는 농부, 누군가는 사냥꾼이었다."
We are good friends.,우리는 좋은 친구다.
Find them.,그들을 찾아라.
I should've never trusted Tom.,나는 톰을 믿지않았어야 했어.
Tom was three when his mother was killed in a traffic accident.,톰은 어머님이 교통사고로 돌아가셨을 때 세 살이었어.
Brains consume 25% of the body's energy.,뇌는 신체 에너지 중 25%를 소비해.
He has a deep insight into human psychology.,그 사람은 인간 심리에 높은 식견이 있어.
Tom has very good problem-solving skills.,톰은 뛰어난 문제해결능력을 가지고 있어.
It isn't easy to write a love letter in English.,영어로 러브레터를 쓰는 것은 쉽지 않다.
I think it's a shame that some foreign language teachers were able to graduate from college without ever having studied with a native speaker.,몇몇 외국어 선생님이 한 번도 원어민과 공부해본 적도 없으면서 대학을 나올 수 있었다는 건 창피한 일인 것 같아.
Someone screamed.,누군가 비명을 질렀어.
Good job!,잘했어!
Tom is going to check it out.,톰이 확인하러 갈 거야.
I thought Tom was Canadian.,나는 톰이 캐나다 사람인 줄 알았다.
Both Tom and Mary miss you.,톰이랑 메리 둘 다 널 그리워해.
There was no point in arguing with Tom.,톰과 싸우는 건 무의미했어.
Are you a drug addict?,너 마약 중독자야?
Everybody left.,모두 떠났어.
I have three daughters.,저에겐 딸이 셋입니다.
Good luck.,잘 되길 바라.
